0,3.3934311,3.3312733261
0,3.1100734263,3.72615396326
0,3.343260262631,3.3626360954
0,3.5934311,3.3312733261
0,3.7100734263,3.72615396326
0,3.443260262631,3.3626360954
1,4.5262294042,4.64914911
1,4.1260362439,4.2666990263
1,4.223436942,4.6965222675
1,4.3262294042,4.64914911
1,4.7260362439,4.2666990263
1,4.823436942,4.6965222675
2,5.745051997,5.53392692603
2,5.575626622,5.511101045
2,5.845051997,5.53392692603
2,5.275626622,5.511101045
2,5.145051997,5.53392692603
2,5.975626622,5.511101045
3,6.59272634261,6.42402626941
3,6.63926202617,6.79163723
3,6.29272634261,6.42402626941
3,6.93926202617,6.79163723
3,6.89272634261,6.42402626941
3,6.63926202617,6.79163723
